zona_key;operator_key;zona_x;zona_y;mcc;mnc;rsrp_avg;pocet_merani;najcastejsia_frekvencia;zona_stred_x;zona_stred_y;longitude;latitude;rsrp_kategoria;zone_wkt
-232800.0_-1222600.0;231.0_6.0;-232800.0;-1222600.0;231.0;6.0;-102.48871428571428;140;1855000000;-232750.0;-1222550.0;21.65632525263846;48.88532888704718;RSRP_GOOD;POLYGON ((-232700 -1222600, -232700 -1222500, -232800 -1222500, -232800 -1222600, -232700 -1222600))
-232900.0_-1222500.0;200.0_10.0;-232900.0;-1222500.0;200.0;10.0;-121.915;4;3422500000;-232850.0;-1222450.0;21.654906302022013;48.88619012974326;RSRP_BAD;POLYGON ((-232800 -1222500, -232800 -1222400, -232900 -1222400, -232900 -1222500, -232800 -1222500))
-232900.0_-1222500.0;231.0_1.0;-232900.0;-1222500.0;231.0;1.0;-101.35257142857144;70;2115000000;-232850.0;-1222450.0;21.654906302022013;48.88619012974326;RSRP_GOOD;POLYGON ((-232800 -1222500, -232800 -1222400, -232900 -1222400, -232900 -1222500, -232800 -1222500))
-232900.0_-1222500.0;231.0_2.0;-232900.0;-1222500.0;231.0;2.0;-111.9;2;796000000;-232850.0;-1222450.0;21.654906302022013;48.88619012974326;RSRP_BAD;POLYGON ((-232800 -1222500, -232800 -1222400, -232900 -1222400, -232900 -1222500, -232800 -1222500))
-232900.0_-1222500.0;231.0_3.0;-232900.0;-1222500.0;231.0;3.0;-120.51767857142856;56;1837500000;-232850.0;-1222450.0;21.654906302022013;48.88619012974326;RSRP_BAD;POLYGON ((-232800 -1222500, -232800 -1222400, -232900 -1222400, -232900 -1222500, -232800 -1222500))
-232900.0_-1222500.0;231.0_6.0;-232900.0;-1222500.0;231.0;6.0;-106.67734265734266;143;773000000;-232850.0;-1222450.0;21.654906302022013;48.88619012974326;RSRP_GOOD;POLYGON ((-232800 -1222500, -232800 -1222400, -232900 -1222400, -232900 -1222500, -232800 -1222500))
-233000.0_-1222400.0;200.0_10.0;-233000.0;-1222400.0;200.0;10.0;-126.38333333333334;3;3422500000;-232950.0;-1222350.0;21.653487303028516;48.8870513549048;RSRP_BAD;POLYGON ((-232900 -1222400, -232900 -1222300, -233000 -1222300, -233000 -1222400, -232900 -1222400))
-233000.0_-1222400.0;231.0_1.0;-233000.0;-1222400.0;231.0;1.0;-103.39833333333333;84;806000000;-232950.0;-1222350.0;21.653487303028516;48.8870513549048;RSRP_GOOD;POLYGON ((-232900 -1222400, -232900 -1222300, -233000 -1222300, -233000 -1222400, -232900 -1222400))
-233000.0_-1222400.0;231.0_3.0;-233000.0;-1222400.0;231.0;3.0;-118.61345454545454;55;1837500000;-232950.0;-1222350.0;21.653487303028516;48.8870513549048;RSRP_BAD;POLYGON ((-232900 -1222400, -232900 -1222300, -233000 -1222300, -233000 -1222400, -232900 -1222400))
-233000.0_-1222400.0;231.0_6.0;-233000.0;-1222400.0;231.0;6.0;-103.80795774647888;142;773000000;-232950.0;-1222350.0;21.653487303028516;48.8870513549048;RSRP_GOOD;POLYGON ((-232900 -1222400, -232900 -1222300, -233000 -1222300, -233000 -1222400, -232900 -1222400))
-233000.0_-1222500.0;200.0_10.0;-233000.0;-1222500.0;200.0;10.0;-120.79;1;3422500000;-232950.0;-1222450.0;21.653543844274555;48.88615285093432;RSRP_BAD;POLYGON ((-232900 -1222500, -232900 -1222400, -233000 -1222400, -233000 -1222500, -232900 -1222500))
-233000.0_-1222500.0;231.0_1.0;-233000.0;-1222500.0;231.0;1.0;-105.00090909090909;22;2640000000;-232950.0;-1222450.0;21.653543844274555;48.88615285093432;RSRP_GOOD;POLYGON ((-232900 -1222500, -232900 -1222400, -233000 -1222400, -233000 -1222500, -232900 -1222500))
-233000.0_-1222500.0;231.0_3.0;-233000.0;-1222500.0;231.0;3.0;-135.35;3;3670000000;-232950.0;-1222450.0;21.653543844274555;48.88615285093432;RSRP_BAD;POLYGON ((-232900 -1222500, -232900 -1222400, -233000 -1222400, -233000 -1222500, -232900 -1222500))
-233000.0_-1222500.0;231.0_6.0;-233000.0;-1222500.0;231.0;6.0;-108.48722222222221;18;3519800000;-232950.0;-1222450.0;21.653543844274555;48.88615285093432;RSRP_GOOD;POLYGON ((-232900 -1222500, -232900 -1222400, -233000 -1222400, -233000 -1222500, -232900 -1222500))
-233100.0_-1222300.0;200.0_10.0;-233100.0;-1222300.0;200.0;10.0;-116.53666666666668;3;3422500000;-233050.0;-1222250.0;21.65206825565636;48.88791256253066;RSRP_BAD;POLYGON ((-233000 -1222300, -233000 -1222200, -233100 -1222200, -233100 -1222300, -233000 -1222300))
-233100.0_-1222300.0;231.0_1.0;-233100.0;-1222300.0;231.0;1.0;-99.09947368421052;57;806000000;-233050.0;-1222250.0;21.65206825565636;48.88791256253066;RSRP_GOOD;POLYGON ((-233000 -1222300, -233000 -1222200, -233100 -1222200, -233100 -1222300, -233000 -1222300))
-233100.0_-1222300.0;231.0_3.0;-233100.0;-1222300.0;231.0;3.0;-111.61169811320755;53;1837500000;-233050.0;-1222250.0;21.65206825565636;48.88791256253066;RSRP_BAD;POLYGON ((-233000 -1222300, -233000 -1222200, -233100 -1222200, -233100 -1222300, -233000 -1222300))
