
Date;Time;UTC;Latitude;Longitude;Altitude;Speed;Heading;#Sat;EARFCN;Frequency;PCI;MCC;MNC;TAC;CI;eNodeB-ID;cellID;BW;SymPerSlot;Power;SINR;RSRP;RSRQ;4G-Drift;Sigma-4G-Drift;TimeOfArrival;TimeOfArrivalFN;LTE-M;5G NR;eNodeB Tx Ports;SIB2 eMBMS/DSS;MIB dl_Bandwidth(MHz);Riadky_v_zone;Frekvencie_v_zone
11.02.2025;08:28:41.161;1741674521;49.028825;21.509037;178.22;57.53;69.71;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-62.14;12.48;-83.77;-12.11;29.28;274.58;3.080521e-06;183270.0;yes;yes;2.0;;10.0;17317,17354,17388,17393,17432,17469;806000000 # Meraní: 6
11.02.2025;08:28:35.012;1741674514;49.028786;21.507670;180.36;53.14;69.94;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-71.16;10.46;-86.25;-13.31;24.99;276.01;2.725605e-06;182450.0;yes;yes;2.0;;10.0;17175,17208,17213,17250,17284,17301;806000000 # Meraní: 6
11.02.2025;08:28:31.750;1741674511;49.028747;21.506304;181.62;52.67;69.47;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-66.42;10.17;-89.80;-14.72;16.83;276.2;2.474256e-06;182047.0;yes;yes;2.0;;10.0;17099,17118,17133;806000000 # Meraní: 3
11.02.2025;08:28:28.300;1741674508;49.027849;21.506364;182.96;51.55;69.45;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-68.93;11.14;-88.39;-14.71;17.04;276.27;2.395415e-06;181657.0;yes;yes;2.0;;10.0;17014,17021,17061;806000000 # Meraní: 3
11.02.2025;08:28:19.043;1741674499;49.027810;21.504997;185.47;51.91;63.05;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-69.39;8.17;-92.16;-16.61;2.21;277.51;2.287396e-06;180866.0;yes;yes;2.0;;10.0;16789,16824,16830,16867,16905,16922,16938,16980;806000000 # Meraní: 8
11.02.2025;08:28:13.638;1741674493;49.027770;21.503631;187.92;52.85;57.63;16;6300;806000000;104;231;1;8041.0;7693579.0;30053.0;11.0;10.0;7;-65.12;5.60;-89.16;-15.94;-4.65;276.74;2.043582e-06;180420.0;yes;yes;2.0;;10.0;16672,16712,16730,16748;806000000 # Meraní: 4
11.02.2025;08:28:12.067;1741674492;49.026872;21.503691;188.48;52.63;59.37;16;1275;1812500000;104;231;1;18041.0;7693599.0;30053.0;31.0;15.0;7;-64.68;9.73;-84.22;-13.61;-22.52;277.34;2.10234e-06;180400.0;no;yes;2.0;;15.0;16629,16644;1812500000 # Meraní: 2
11.02.2025;08:27:57.288;1741674477;49.027692;21.500899;195.64;57.24;116.79;16;50;2115000000;104;231;1;21041.0;7693609.0;30053.0;41.0;10.0;7;-66.78;7.53;-86.64;-13.02;-57.54;276.94;2.142396e-06;178923.0;no;yes;2.0;;10.0;16257,16260;2115000000 # Meraní: 2
11.02.2025;08:32:46.330;1741674766;49.004677;21.546200;191.38;60.98;123.32;16;50;2115000000;112;231;1;21041.0;7693610.0;30053.0;42.0;10.0;7;-69.5;17.01;-87.02;-13.98;48.57;298.01;1.2668154e-05;207484.0;no;yes;;;10.0;25440,25467,25506,25580;2115000000 # Meraní: 4
11.02.2025;08:28:05.740;1741674485;49.026833;21.502324;192.7;53.5;97.26;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-63.82;7.05;-85.53;-13.7;-37.12;276.33;1.889308e-06;179631.0;yes;yes;;;10.0;16460,16502,16521,16529,16588;806000000 # Meraní: 5
11.02.2025;08:27:59.344;1741674479;49.026794;21.500958;195.08;56.48;116.75;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-60.07;6.51;-82.03;-13.49;-54.25;277.6;2.11841e-06;178753.0;yes;yes;;;10.0;16293,16311,16331,16374,16410,16415;806000000 # Meraní: 6
11.02.2025;08:27:50.758;1741674470;49.027653;21.499533;195.25;60.73;122.67;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.89;6.62;-83.94;-12.75;-68.7;279.25;2.484253e-06;177936.0;yes;yes;;;10.0;16084,16104,16109,16168,16204,16208,16252;806000000 # Meraní: 7
11.02.2025;08:27:43.364;1741674463;49.028513;21.498107;196.69;67.72;127.32;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-57.35;9.99;-78.71;-14.12;-74.66;278.82;2.722437e-06;177530.0;yes;yes;;;10.0;15883,15905,15953,15990,15995;806000000 # Meraní: 5
11.02.2025;08:27:48.719;1741674468;49.027614;21.498166;195.67;62.89;125.78;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.89;4.82;-78.41;-12.75;-68.7;279.25;2.484253e-06;177936.0;yes;yes;;;10.0;16043;806000000 # Meraní: 1
11.02.2025;08:27:37.771;1741674457;49.029372;21.496681;197.88;73.98;139.03;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.54;11.82;-78.30;-13.16;-89.4;280.03;3.218079e-06;176709.0;yes;yes;;;10.0;15731;806000000 # Meraní: 1
11.02.2025;08:27:39.229;1741674459;49.028473;21.496741;197.52;71.78;134.65;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-58.54;9.83;-76.25;-13.16;-89.4;280.03;3.218079e-06;176709.0;yes;yes;;;10.0;15773,15783,15824,15865;806000000 # Meraní: 4
11.02.2025;08:27:29.130;1741674449;49.030231;21.495256;202.78;77.69;139.88;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-53.05;10.92;-73.52;-12.21;-113.34;281.84;3.845419e-06;175853.0;yes;yes;;;10.0;15513,15544,15565,15604;806000000 # Meraní: 4
11.02.2025;08:27:34.467;1741674454;49.029333;21.495315;199.08;76.46;140.78;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-56.86;10.36;-77.27;-12.92;-100.56;281.55;3.521482e-06;176301.0;yes;yes;;;10.0;15649,15669,15675;806000000 # Meraní: 3
11.02.2025;08:27:20.836;1741674440;49.031090;21.493830;208.95;59.54;111.1;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-68.54;9.86;-76.45;-14.59;-122.89;282.41;4.262661e-06;175032.0;yes;yes;;;10.0;15252,15307,15316,15375,15422,15447,15469;806000000 # Meraní: 7
11.02.2025;08:27:27.918;1741674447;49.030192;21.493889;204.57;75.56;140.68;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-58.88;5.43;-76.93;-12.14;-115.36;280.94;3.868447e-06;175828.0;no;yes;2.0;;15.0;15490;1812500000 # Meraní: 1
11.02.2025;08:27:14.141;1741674434;49.031950;21.492404;208.34;61.16;63.62;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-75.84;5.09;-92.56;-13.34;-95.49;284.0;4.392547e-06;174608.0;yes;yes;;;10.0;15036,15079,15137,15161,15187;806000000 # Meraní: 5
11.02.2025;08:26:51.469;1741674411;49.029957;21.485692;207.06;86.8;87.52;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-77.23;-1.67;-98.66;-13.18;-40.22;285.01;5.371488e-06;171971.0;yes;yes;;;10.0;14210,14237,14271;806000000 # Meraní: 3
11.02.2025;08:26:47.479;1741674407;49.029918;21.484326;209.0;85.1;87.27;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-78.05;4.42;-97.77;-15.59;-36.25;285.81;6.086902e-06;171534.0;yes;yes;;;10.0;14044,14052,14126;806000000 # Meraní: 3
11.02.2025;08:26:28.158;1741674388;49.030659;21.478801;215.52;83.7;123.72;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-76.27;7.53;-97.76;-11.79;-63.64;283.39;6.926178e-06;169792.0;yes;yes;;;10.0;13151,13223,13231;806000000 # Meraní: 3
11.02.2025;08:26:31.558;1741674391;49.029760;21.478861;214.34;82.08;116.75;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-79.18;8.09;-100.19;-12.23;-54.22;283.25;6.704596e-06;170197.0;yes;yes;;;10.0;13317;806000000 # Meraní: 1
11.02.2025;08:26:23.447;1741674383;49.031518;21.477375;216.74;85.9;131.1;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-67.56;12.15;-85.53;-10.83;-81.05;283.72;7.331421e-06;169279.0;no;yes;2.0;;15.0;12934;1812500000 # Meraní: 1
11.02.2025;08:26:24.628;1741674384;49.030619;21.477435;216.5;85.32;130.88;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-71.17;11.76;-91.77;-10.96;-79.23;283.93;7.324629e-06;169289.0;yes;yes;;;10.0;12986,13043,13048;806000000 # Meraní: 3
11.02.2025;08:26:16.152;1741674376;49.032377;21.475949;219.66;83.77;118.62;16;6300;806000000;120;231;1;8041.0;7693581.0;30053.0;13.0;10.0;7;-67.18;15.65;-84.84;-10.92;-78.68;283.72;7.715094e-06;168784.0;yes;yes;;;10.0;12598;806000000 # Meraní: 1
11.02.2025;08:26:19.996;1741674379;49.031478;21.476009;218.46;86.08;129.14;16;1275;1812500000;120;231;1;18041.0;7693601.0;30053.0;33.0;15.0;7;-69.02;12.10;-86.15;-11.2;-78.45;284.67;7.73858e-06;168775.0;no;yes;2.0;;15.0;12760,12813,12841;1812500000 # Meraní: 3
